,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,split
1287, 1 Series,2014,17292,Semi-Auto,35481,Petrol,235,37.7,3.0,-1.043364033503588
1288, 2 Series,2019,20276,Automatic,4013,Petrol,145,53.3,1.5,-0.7771115646885598
1289, 1 Series,2017,19792,Automatic,15867,Diesel,145,61.4,2.0,-0.5946394959501002
1290, 1 Series,2018,17882,Semi-Auto,9993,Petrol,145,37.2,1.5,-0.7505893736222288
1291, X1,2018,24472,Semi-Auto,11253,Diesel,145,60.1,2.0,0.12554941362308897
1292, X1,2017,19991,Semi-Auto,19396,Petrol,160,44.8,2.0,-0.314706325664575
1293, X3,2019,42763,Semi-Auto,3844,Diesel,145,36.7,3.0,0.762946340674748
1294, 1 Series,2019,27720,Manual,123,Diesel,145,53.3,2.0,-2.0183383045158774
1295, 1 Series,2019,32060,Automatic,123,Diesel,145,48.7,2.0,-0.12036189861555498
1296, X2,2019,28608,Automatic,123,Diesel,145,50.4,2.0,-0.2597506743253781
1297, 2 Series,2019,21796,Automatic,11189,Diesel,145,67.3,2.0,-1.2378255072348954
1298, X4,2019,34526,Automatic,5744,Diesel,145,42.8,2.0,0.8063701960186319
1299, 3 Series,2019,33840,Automatic,123,Petrol,145,42.2,2.0,0.7370272964942914
1300, X3,2019,38020,Automatic,123,Diesel,145,54.3,2.0,-0.4849192218257943
1301, X3,2019,37830,Automatic,123,Diesel,145,54.3,2.0,-1.4592919609328325
1302, 1 Series,2019,28000,Automatic,123,Diesel,145,51.4,2.0,1.2467169498943032
1303, 3 Series,2019,34370,Automatic,123,Diesel,145,50.4,2.0,-0.8268539161031331
1305, 4 Series,2019,29806,Automatic,1649,Petrol,145,41.5,3.0,-3.0813808978402335
1306, X4,2019,40016,Automatic,6648,Petrol,145,26.9,3.0,0.759901863080522
1307, 1 Series,2017,21972,Automatic,25000,Petrol,145,39.8,3.0,1.2632768965532226
1309, 2 Series,2019,22516,Automatic,5215,Petrol,145,47.9,2.0,-1.6358561865187913
1310, 2 Series,2017,14951,Manual,22887,Petrol,145,55.4,1.5,-1.7136426688244832
1311, 5 Series,2016,17991,Semi-Auto,30089,Diesel,125,60.1,2.0,-0.02198431037007553
1312, 3 Series,2017,18612,Semi-Auto,25000,Diesel,30,64.2,2.0,0.3696649810179482
1313, X2,2019,30266,Automatic,123,Diesel,145,58.9,2.0,0.03953046037415834
1314, X2,2019,26930,Semi-Auto,4030,Petrol,145,40.4,2.0,-0.9329821924477303
1317, 2 Series,2019,24440,Semi-Auto,5639,Diesel,145,49.6,2.0,-1.4538278940549967
1318, X1,2019,25020,Semi-Auto,5197,Petrol,145,38.2,2.0,1.3984748542443455
1319, X6,2018,39589,Semi-Auto,12648,Diesel,145,40.9,3.0,0.23280806187801506
1320, 3 Series,2019,34280,Automatic,123,Diesel,145,50.4,2.0,0.4277956135366781
1321, 1 Series,2019,27730,Manual,123,Diesel,145,53.3,2.0,-0.800499018280545
1324, 1 Series,2019,26310,Manual,123,Diesel,145,53.3,2.0,-0.5888477098555583
1325, 7 Series,2019,49990,Automatic,123,Diesel,145,44.8,3.0,1.0965564767697742
1326, Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2.0,1.345867614159418
1327, X3,2019,30200,Semi-Auto,19915,Petrol,145,30.4,2.0,-0.29542761377371834
1328, 3 Series,2018,21800,Semi-Auto,37052,Diesel,145,51.4,3.0,0.598554405716395
1330, 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2.0,0.9084995073327921
1331, X1,2018,18502,Manual,12800,Diesel,145,68.9,2.0,0.16612862295962594
1332, 4 Series,2019,27003,Manual,123,Diesel,145,62.8,2.0,0.36452261346483383
1333, 5 Series,2019,35810,Automatic,123,Petrol,145,48.7,2.0,-0.3660261985986841
1334, X5,2019,53910,Automatic,123,Diesel,145,37.7,3.0,-0.9878961453164243
1335, X3,2019,38900,Automatic,123,Diesel,145,54.3,2.0,1.1417147451425005
1336, X5,2017,31900,Automatic,21379,Diesel,200,47.1,3.0,-1.1386273682029688
1337, 3 Series,2019,36990,Semi-Auto,3501,Diesel,145,47.9,3.0,0.43941901326191035
1338, 3 Series,2016,17490,Semi-Auto,21804,Diesel,125,60.1,2.0,-0.4814304208404703
1339, X6,2017,35990,Semi-Auto,3550,Diesel,150,44.8,3.0,-0.0007522246571671428
1342, 7 Series,2017,27100,Semi-Auto,34335,Diesel,145,54.3,3.0,-0.47739209530218196
1344, X1,2019,28410,Automatic,123,Diesel,145,60.1,2.0,1.1243803627323414
1345, X3,2019,31276,Automatic,7345,Petrol,145,30.4,2.0,2.012028033256364
1346, X5,2019,44036,Automatic,11436,Diesel,145,37.7,3.0,0.4687151585291003
1347, 1 Series,2020,26991,Semi-Auto,2000,Diesel,145,57.7,1.5,0.727902113241999
1348, X1,2020,29991,Semi-Auto,2000,Diesel,145,40.9,2.0,2.250165907353706
1351, 4 Series,2019,22726,Automatic,9987,Diesel,145,65.7,2.0,-1.0236123139556603
1353, X1,2014,12832,Automatic,33100,Diesel,160,52.3,2.0,1.2311258877487914
1357, 2 Series,2019,28861,Automatic,123,Petrol,145,39.8,3.0,-1.7518209360279131
1360, 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2.0,-1.8090797847460918
1361, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,1.380780462657171
1363, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.21487782528038224
1366, 3 Series,2017,17832,Semi-Auto,29943,Diesel,30,64.2,2.0,0.13066124449764577
1369, X5,2019,48440,Automatic,8000,Diesel,145,37.7,3.0,1.0138080055078464
1370, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5,-0.6236047686769701
1371, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.32889600153274773
1374, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.16385414725609426
1375, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.36756823548881307
1376, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.4732570984130065
1377, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-0.44093534540664303
1378, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,1.8624651521613624
1379, 1 Series,2017,15998,Semi-Auto,32317,Diesel,30,65.7,2.0,0.4868054262117584
1381, 3 Series,2016,15621,Manual,32927,Diesel,125,60.1,2.0,-0.7884453325468005
1383, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,0.18496997774021268
1384, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,0.9433003688820046
1385, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,-1.2849220875364162
1387, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,1.9068435097155276
1388, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,1.4128778791768764
1390, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,0.011539647629466219
1391, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,0.6978335827438101
1392, 1 Series,2014,11399,Semi-Auto,56926,Diesel,30,64.2,2.0,-0.1400973768034022
1394, 3 Series,2015,15570,Automatic,53669,Diesel,160,51.4,3.0,0.2774988787714459
1395, 1 Series,2016,14497,Manual,9574,Diesel,30,62.8,2.0,0.2953765383924193
1396, 3 Series,2018,18010,Manual,36039,Diesel,145,58.9,2.0,-0.8420464828497058
1397, 1 Series,2015,10499,Manual,60000,Diesel,20,70.6,1.5,-0.4654073560423006
1398, X3,2019,30200,Semi-Auto,17647,Petrol,145,30.4,2.0,0.8447340408240754
1399, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,1.5529353414064568
1402, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,0.8934579702534561
1404, X1,2019,28190,Automatic,123,Petrol,145,39.8,1.5,-0.7679266703908374
1405, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5,-0.7127616672223082
1406, X1,2019,27440,Manual,123,Petrol,145,39.8,1.5,0.13924312917228263
1407, 4 Series,2019,30331,Automatic,123,Petrol,145,48.7,2.0,0.8321925436680634
1408, 4 Series,2019,35045,Automatic,123,Diesel,145,50.4,3.0,-0.21256677800962612
1409, 4 Series,2019,29631,Automatic,123,Diesel,145,65.7,2.0,-0.5106786575113232
1411, 5 Series,2020,27090,Semi-Auto,3168,Hybrid,145,49.6,2.0,0.5622312277046136
1412, 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3.0,-1.3930263247167862
1413, X2,2019,25820,Automatic,6106,Diesel,145,61.4,2.0,-1.8495052518123114
1414, X4,2019,41530,Automatic,4000,Diesel,145,37.2,3.0,-0.7395879507943599
1415, 2 Series,2019,23489,Automatic,123,Diesel,145,65.7,2.0,-1.3197092503809598
1416, X3,2019,32376,Automatic,2489,Diesel,145,54.3,2.0,-0.1919945166316354
1418, 4 Series,2019,29361,Automatic,123,Diesel,145,65.7,2.0,-0.6361694293415827
1419, 5 Series,2019,29830,Automatic,123,Petrol,145,50.4,2.0,1.217026532330201
1420, X1,2019,23991,Manual,4480,Petrol,145,51.4,1.5,-0.5332865324160295
1421, 1 Series,2019,24160,Manual,5181,Petrol,145,41.5,1.5,0.5071166419657738
1423, 1 Series,2020,29980,Semi-Auto,4362,Diesel,145,48.7,2.0,2.1316455352602044
1426, X2,2019,25907,Manual,151,Diesel,150,53.3,2.0,-0.6414592424743657
1427, 1 Series,2017,22390,Semi-Auto,18511,Petrol,145,39.8,3.0,-0.114496273692163
1428, 5 Series,2015,13980,Semi-Auto,29719,Diesel,20,68.9,2.0,0.19750693333738054
1429, 2 Series,2019,21356,Semi-Auto,15006,Petrol,145,47.9,2.0,-0.8065728787283731
1430, 2 Series,2019,21030,Automatic,7738,Diesel,145,49.6,2.0,1.3147636016165731
1431, 3 Series,2019,28820,Manual,123,Diesel,145,56.5,2.0,0.8541755422681883
1432, 2 Series,2019,21858,Manual,123,Diesel,145,61.4,2.0,0.10257325070941249
1434, 5 Series,2017,25372,Semi-Auto,8500,Diesel,145,60.1,2.0,0.9580594069182166
1435, 4 Series,2020,32148,Semi-Auto,16,Diesel,145,60.1,2.0,1.1685471868831954
1436, 4 Series,2014,14291,Manual,29000,Petrol,200,40.9,2.0,0.7285319569103139
1437, X2,2019,29770,Automatic,123,Diesel,145,48.7,2.0,0.07698916159308439
1438, X2,2019,30571,Automatic,123,Diesel,145,58.9,2.0,1.9300627886661896
1439, 2 Series,2019,23322,Manual,123,Petrol,145,52.3,1.5,-0.18672412117643086
1441, 1 Series,2019,26720,Manual,3710,Diesel,145,53.3,2.0,0.353270229442894
1442, 2 Series,2019,25260,Semi-Auto,3697,Petrol,145,48.7,2.0,-0.16221164731957383
1444, 4 Series,2019,24132,Semi-Auto,4000,Diesel,150,65.7,2.0,1.6964967637067456
1446, 3 Series,2014,14972,Semi-Auto,33287,Diesel,145,55.4,2.0,1.6242949764233277
1449, X2,2019,25526,Semi-Auto,5161,Diesel,145,61.4,2.0,-0.9524657979412298
1450, 5 Series,2019,37220,Automatic,123,Diesel,145,60.1,3.0,0.8024651916824472
1451, X2,2019,22790,Automatic,8477,Diesel,145,49.6,2.0,-0.41751760433256413
1454, 1 Series,2019,27860,Automatic,14147,Diesel,145,51.4,2.0,-0.44999836196132253
1455, 3 Series,2019,35250,Automatic,123,Diesel,145,47.9,3.0,-0.3299747891031915
1460, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,-0.16253361303327488
1461, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,-0.1526977046078277
1464, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,-0.5206656310942006
1465, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,1.0043900734629736
1466, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,-0.6608052400252951
1467, 2 Series,2019,21773,Automatic,123,Diesel,145,49.6,2.0,-0.3177404128762468
1468, 3 Series,2019,31790,Automatic,123,Petrol,145,42.2,2.0,1.019768497054673
1469, 4 Series,2016,26442,Semi-Auto,19344,Petrol,235,39.2,3.0,0.6426633423306545
1470, 5 Series,2018,24862,Automatic,10500,Diesel,145,65.7,2.0,-0.11623657811956571
1471, 6 Series,2017,24622,Automatic,26000,Diesel,145,49.6,3.0,-0.4939156373999482
1472, X4,2019,47480,Automatic,123,Petrol,145,26.9,3.0,0.03641576368268061
1473, X4,2019,47480,Automatic,123,Petrol,145,26.9,3.0,1.2016796503938592
1474, 3 Series,2019,29450,Automatic,123,Diesel,145,54.3,2.0,-0.41382212250642003
1475, 2 Series,2019,21773,Automatic,123,Diesel,145,49.6,2.0,0.5717060676556329
1476, 1 Series,2019,24142,Semi-Auto,16000,Petrol,145,39.8,3.0,0.909793802249909
1477, 2 Series,2019,22773,Automatic,123,Diesel,145,49.6,2.0,-0.3243998710333972
1480, 5 Series,2015,17002,Semi-Auto,29116,Diesel,30,62.8,2.0,0.5968439431706499
1481, M4,2018,38776,Manual,8869,Petrol,145,32.1,3.0,-0.027978356833617535
1482, X3,2019,32822,Semi-Auto,4550,Diesel,145,54.3,2.0,-1.742142476273134
1483, 2 Series,2017,22991,Semi-Auto,23730,Petrol,200,39.8,3.0,1.272438039838048
1486, X3,2019,32226,Automatic,4997,Petrol,145,30.4,2.0,0.006666800191731989
1488, 1 Series,2018,17595,Semi-Auto,26268,Petrol,145,47.9,2.0,1.1305093854086599
1489, X1,2016,15500,Semi-Auto,52061,Diesel,30,65.7,2.0,0.34565429974136075
1492, X2,2019,26972,Automatic,123,Petrol,145,38.7,2.0,0.02557249476136867
1493, X3,2019,38330,Automatic,123,Diesel,145,54.3,2.0,0.41774966124999807
1494, X1,2017,19500,Semi-Auto,20935,Diesel,125,60.1,2.0,-1.0290029366759827
1495, 3 Series,2014,17000,Automatic,67455,Diesel,160,50.4,3.0,1.9025110619225933
1496, 1 Series,2016,14500,Manual,21646,Petrol,125,52.3,1.5,-0.5830718740245527
1497, 3 Series,2017,22998,Semi-Auto,25585,Diesel,145,51.4,3.0,0.5290740083327741
1501, 4 Series,2017,19298,Semi-Auto,27119,Diesel,145,65.7,2.0,0.17122522618819788
1502, X1,2017,20998,Semi-Auto,12624,Diesel,150,57.6,2.0,1.1437344972739991
1503, X1,2016,14998,Semi-Auto,78843,Diesel,150,55.4,2.0,-0.3612622716009774
1505, 2 Series,2019,22646,Manual,123,Petrol,145,52.3,1.5,-1.2610744798919116
1507, 2 Series,2019,22292,Manual,123,Diesel,145,64.2,2.0,1.4163212221692414
1509, 3 Series,2019,32060,Automatic,123,Diesel,145,60.1,2.0,-0.29532119765910547
1512, 2 Series,2019,23159,Automatic,123,Petrol,145,50.4,1.5,-0.8411838358947831
1513, 2 Series,2019,21176,Manual,123,Diesel,145,65.7,2.0,0.1418718277382471
1514, 5 Series,2019,41550,Automatic,123,Petrol,145,39.2,3.0,0.9044821886950638
1515, 2 Series,2019,22291,Manual,123,Diesel,145,64.2,2.0,0.010459269636756273
1520, X3,2019,33313,Semi-Auto,4999,Diesel,145,54.3,2.0,0.6815845528021119
1522, 3 Series,2019,40602,Semi-Auto,3980,Petrol,145,34.9,3.0,-0.8758996322277234
1523, 1 Series,2017,21498,Semi-Auto,19869,Petrol,150,39.8,3.0,-0.21720291946934023
1524, 3 Series,2017,15698,Semi-Auto,21545,Petrol,150,54.3,1.5,-1.4888204623750738
1527, 4 Series,2017,20320,Automatic,16876,Diesel,125,58.9,2.0,-0.45637623878344097
1528, 2 Series,2015,9995,Manual,37500,Diesel,20,68.9,2.0,-0.6187911129175684
1529, 5 Series,2017,18491,Semi-Auto,39128,Diesel,125,60.1,2.0,1.401886615775647
1530, 1 Series,2014,12290,Manual,32014,Diesel,30,65.7,2.0,-0.5000027747303913
1531, 3 Series,2017,19192,Semi-Auto,18014,Diesel,150,60.1,2.0,0.8016604292512219
1533, 1 Series,2017,21162,Semi-Auto,20508,Petrol,200,39.8,3.0,-1.0821195935035852
1534, 3 Series,2019,36531,Semi-Auto,6850,Petrol,145,40.4,2.0,-0.06480238894967807
1535, X2,2019,27982,Semi-Auto,4264,Petrol,145,39.2,2.0,-0.5105603016158718
1537, 3 Series,2016,16990,Semi-Auto,44563,Diesel,125,60.1,2.0,0.013891665410099863
1538, 1 Series,2017,17990,Semi-Auto,25877,Diesel,125,60.1,2.0,-0.6215490440159805
1539, 1 Series,2014,9692,Manual,34000,Petrol,125,52.3,1.6,0.3836964334386695
1540, X3,2019,33990,Automatic,1926,Diesel,145,54.3,2.0,-0.3211934679002229
1542, Z4,2019,31990,Automatic,11223,Petrol,145,37.2,2.0,0.268736348223799
1544, 2 Series,2016,17336,Automatic,23030,Diesel,145,55.4,2.0,-0.5138795285532007
1545, 4 Series,2019,26922,Semi-Auto,4068,Diesel,150,65.7,2.0,0.6408791343640166
1547, X5,2019,50832,Semi-Auto,100,Diesel,145,37.7,3.0,-1.3899535118060111
1548, X1,2017,21312,Automatic,11253,Diesel,125,57.6,2.0,-0.5039712903281512
1549, X4,2019,42982,Automatic,9151,Diesel,145,37.2,3.0,0.9223402324671771
1550, X1,2019,26970,Semi-Auto,10730,Diesel,145,50.4,2.0,-0.9396930134589934
1551, 4 Series,2016,18512,Semi-Auto,21470,Diesel,30,65.7,2.0,-1.205270361147528
1554, 2 Series,2014,12302,Manual,31676,Diesel,125,58.9,2.0,-1.4111311086659306
1555, X1,2013,8795,Manual,70645,Diesel,165,51.4,2.0,2.1303375710876753
1556, 2 Series,2018,15995,Semi-Auto,21815,Diesel,150,68.9,2.0,0.13656073566792873
1557, 3 Series,2014,16500,Automatic,67455,Diesel,160,50.4,3.0,-0.30384554234114886
1558, 2 Series,2016,10465,Manual,16228,Diesel,20,68.9,2.0,-1.282783727244943
1559, 2 Series,2019,18480,Manual,2771,Petrol,145,44.1,1.5,-0.05594816496770485
1560, 4 Series,2019,25320,Automatic,5035,Diesel,145,65.7,2.0,2.69848981940378
1561, 2 Series,2019,24500,Manual,2631,Diesel,145,55.4,2.0,-1.3415831683054837
1565, X2,2019,29374,Automatic,123,Diesel,145,50.4,2.0,-2.0699908679895986
1567, X2,2019,29375,Automatic,123,Diesel,145,50.4,2.0,0.2470309806466506
1569, X3,2017,20340,Automatic,30443,Diesel,145,54.3,2.0,1.5481013968380437
1571, 2 Series,2017,20499,Semi-Auto,14612,Petrol,145,38.2,3.0,-0.8592281898571754
1573, 4 Series,2014,10749,Automatic,70116,Diesel,125,61.4,2.0,-0.18075862795060743
1574, 3 Series,2015,13490,Semi-Auto,63981,Diesel,30,64.2,2.0,1.1664550510498113
1577, X1,2016,18795,Automatic,14868,Petrol,160,44.8,2.0,-0.8990219926174535
1578, 1 Series,2017,20750,Automatic,18347,Petrol,200,39.8,3.0,0.19911449554118266
1580, 4 Series,2017,21167,Semi-Auto,19041,Diesel,145,55.4,3.0,-0.0968456013026848
1581, 4 Series,2016,17870,Semi-Auto,13298,Petrol,200,42.8,2.0,-0.29479649244627526
1586, 3 Series,2016,20432,Semi-Auto,9939,Diesel,160,51.4,3.0,0.2774461739596781
1587, 2 Series,2017,15552,Semi-Auto,56718,Diesel,145,65.7,2.0,1.7186238468926751
1589, 3 Series,2019,26832,Semi-Auto,4039,Petrol,145,42.2,2.0,-1.5534310677916117
1591, 1 Series,2013,12000,Semi-Auto,17988,Petrol,150,48.7,1.6,-0.18304739613334717
1594, 4 Series,2017,21490,Semi-Auto,48957,Diesel,145,50.4,3.0,-2.3939606222079175
1596, 1 Series,2016,9990,Manual,71603,Diesel,20,70.6,1.5,1.3595098929267246
1598, 2 Series,2016,18950,Automatic,22537,Petrol,260,37.2,3.0,1.2847116708236144
1599, 4 Series,2014,13130,Automatic,46833,Petrol,145,47.1,2.0,-0.5414098654164141
1600, 3 Series,2018,21980,Semi-Auto,9684,Petrol,145,48.7,2.0,0.3242188636998557
1602, X3,2016,18991,Semi-Auto,39365,Diesel,145,54.3,2.0,1.2022722322103716
1603, X1,2017,18991,Semi-Auto,29317,Diesel,145,57.6,2.0,-0.6615407611787134
1604, 1 Series,2015,14999,Manual,40052,Petrol,300,35.3,3.0,3.0783326972347282
1605, 3 Series,2016,15510,Semi-Auto,40417,Diesel,125,60.1,2.0,0.6680595563389622
1609, 5 Series,2016,15122,Semi-Auto,37390,Diesel,20,68.9,2.0,0.45557460135088435
1611, 1 Series,2015,14690,Semi-Auto,23234,Petrol,125,54.3,1.5,0.38484560694837694
1613, 3 Series,2015,14490,Semi-Auto,28425,Diesel,125,61.4,2.0,-0.4706798015995838
1614, 3 Series,2016,15490,Semi-Auto,38000,Diesel,30,64.2,2.0,1.3963228261839347
1615, 3 Series,2018,19495,Automatic,23830,Diesel,145,60.1,2.0,-1.01059924097159
1619, 2 Series,2019,21402,Manual,6000,Diesel,150,51.4,2.0,0.049292022549154074
1620, 3 Series,2019,27472,Semi-Auto,8200,Petrol,150,42.2,2.0,-0.5731281221442415
1621, X2,2019,26612,Semi-Auto,3000,Petrol,150,38.7,2.0,-0.06774626738481308
1622, X5,2019,48090,Automatic,123,Diesel,145,36.7,3.0,1.6460122708817775
1623, X5,2019,48090,Automatic,123,Diesel,145,36.7,3.0,0.3338422209262938
1625, 1 Series,2014,14112,Semi-Auto,64995,Petrol,235,37.7,3.0,-1.0572659470590746
1628, 5 Series,2017,23920,Automatic,24232,Diesel,145,53.3,3.0,0.506413676239276
1633, X6,2018,37900,Semi-Auto,11500,Diesel,150,40.9,3.0,0.14536988516903368
1634, 4 Series,2018,20397,Automatic,12421,Diesel,145,65.7,2.0,-0.14283007158825362
1635, 3 Series,2018,20940,Automatic,9200,Petrol,145,48.7,2.0,-0.20217092745122373
1636, 2 Series,2018,15297,Automatic,9754,Petrol,145,40.9,1.5,2.7129634319608034
1637, 1 Series,2020,32451,Semi-Auto,206,Diesel,145,48.7,2.0,1.6865090953650441
1638, 4 Series,2020,32748,Semi-Auto,16,Diesel,145,60.1,2.0,-1.6322864274579736
1639, 4 Series,2020,35100,Semi-Auto,16,Diesel,145,51.4,3.0,0.8778040733502979
1640, X3,2015,22202,Semi-Auto,15712,Diesel,145,54.3,2.0,-1.8636190718932284
1641, 3 Series,2018,22162,Semi-Auto,14344,Diesel,145,64.2,2.0,-0.7159174509749902
1642, 4 Series,2019,28532,Semi-Auto,3030,Diesel,145,58.9,2.0,-1.7156697835197259
1645, X2,2019,34368,Automatic,123,Petrol,145,34.0,2.0,-0.4154497960386342
1649, 2 Series,2019,25671,Automatic,123,Petrol,145,47.9,2.0,-0.20739021332074617
1650, 1 Series,2016,18112,Semi-Auto,18457,Diesel,125,60.1,2.0,0.3443532732904796
1651, X6,2018,40092,Semi-Auto,11637,Diesel,145,44.8,3.0,-0.7173279429542453
1652, X2,2019,28266,Semi-Auto,2367,Petrol,145,39.2,2.0,0.3932211875148996
1653, 4 Series,2019,32170,Automatic,3000,Petrol,145,41.5,3.0,-0.10495715955164361
1656, 1 Series,2017,19548,Manual,20485,Petrol,145,36.2,3.0,-1.4939248956166504
1659, X4,2019,37540,Automatic,4002,Diesel,145,42.8,2.0,-0.6009241315097159
1660, 2 Series,2019,23920,Manual,3156,Diesel,145,60.1,2.0,2.1861479700118855
1661, 4 Series,2019,28970,Semi-Auto,5402,Diesel,145,60.1,2.0,0.2505352973010249
1664, X4,2019,39263,Semi-Auto,6170,Diesel,145,40.9,3.0,0.2543453565488699
1665, 6 Series,2019,34442,Semi-Auto,16935,Diesel,145,47.9,3.0,2.6884373846676497
1667, 2 Series,2018,17722,Manual,19571,Petrol,145,52.3,1.5,0.45225991884152345
1669, X2,2019,28955,Semi-Auto,5313,Diesel,145,48.7,2.0,0.47491341857498603
1670, X3,2019,57680,Automatic,1405,Petrol,145,24.8,3.0,-0.4214602389664896
1671, X7,2019,67120,Automatic,10,Diesel,145,33.6,3.0,0.7138001578253225
1672, 3 Series,2019,27596,Automatic,12608,Diesel,145,52.3,2.0,0.9979167514621876
1677, 3 Series,2019,26580,Semi-Auto,13216,Diesel,145,60.1,2.0,-1.6585965326780563
1680, X1,2017,16514,Automatic,60792,Diesel,145,55.4,2.0,-0.4571640924567362
1682, X4,2019,42460,Automatic,2188,Petrol,145,26.9,3.0,0.5026833279340105
1684, 4 Series,2019,27990,Semi-Auto,1000,Diesel,145,56.5,3.0,-0.13312882324511258
1685, X5,2019,49990,Semi-Auto,751,Petrol,145,27.2,3.0,1.1331235298445543
1686, X3,2016,20990,Semi-Auto,32040,Diesel,145,54.3,2.0,-0.8659097056084218
1687, 4 Series,2020,30137,Semi-Auto,16,Diesel,150,60.1,2.0,0.80965827127888
1688, 2 Series,2019,21773,Automatic,123,Diesel,145,49.6,2.0,-0.5661466125795286
1692, 2 Series,2019,20638,Manual,123,Diesel,145,51.4,2.0,-1.0229854395471472
1693, 2 Series,2019,22773,Automatic,153,Diesel,145,49.6,2.0,0.23977957328042995
1694, X4,2017,22973,Semi-Auto,46363,Diesel,145,54.3,2.0,-2.3574032225779815
1695, 5 Series,2017,21995,Automatic,18820,Diesel,145,65.7,2.0,0.6352024347156919
1698, X2,2019,28150,Semi-Auto,6950,Diesel,145,58.9,2.0,0.26487882991170336
1700, 2 Series,2019,21600,Semi-Auto,5000,Diesel,145,48.7,2.0,-0.8161242624479064
1701, 5 Series,2019,26566,Automatic,6384,Diesel,145,62.8,2.0,0.20063256929396708
1702, 2 Series,2019,21460,Manual,7710,Diesel,145,60.1,2.0,-1.1192243391996366
1705, 2 Series,2020,23380,Semi-Auto,666,Diesel,145,51.4,2.0,-1.1769859719815878
1708, 3 Series,2019,28013,Semi-Auto,7165,Petrol,145,41.5,2.0,-0.24111690200664895
1709, X3,2019,34222,Semi-Auto,2973,Petrol,145,30.4,2.0,0.6738960011455682
1710, 2 Series,2019,21990,Semi-Auto,2500,Petrol,145,39.2,1.5,0.3571872587869136
1712, X3,2016,18995,Semi-Auto,34274,Diesel,145,54.3,2.0,0.004170039924463787
1713, X3,2017,26692,Automatic,18673,Diesel,145,47.1,3.0,-0.6316356635573991
1715, 4 Series,2019,31356,Automatic,123,Petrol,145,48.7,2.0,-0.2311456154840576
1718, 1 Series,2016,12965,Automatic,23899,Petrol,30,58.9,1.5,1.195949592494282
1719, 1 Series,2013,10965,Automatic,37808,Diesel,30,64.2,2.0,0.934417392961888
1721, X1,2016,17498,Manual,19060,Diesel,125,58.9,2.0,1.149126932695941
1724, 2 Series,2019,24240,Semi-Auto,1415,Diesel,145,49.6,2.0,0.05730963985453195
1725, X3,2015,16680,Semi-Auto,70864,Diesel,150,54.3,2.0,-2.0772538764069304
1726, 1 Series,2017,12390,Semi-Auto,42852,Diesel,20,72.4,1.5,-0.24886760122075624
1728, 1 Series,2019,22990,Manual,5023,Diesel,145,53.3,2.0,0.40344008936452913
1729, 2 Series,2019,18260,Manual,5328,Petrol,145,44.1,1.5,-0.08321749525469244
1731, X6,2019,55990,Automatic,6222,Diesel,145,34.9,3.0,-0.9674102948680086
1732, 4 Series,2019,22810,Automatic,5984,Petrol,145,48.7,2.0,-1.2280205793038625
1733, 2 Series,2019,21390,Automatic,14380,Diesel,145,47.1,2.0,-0.7167310235431515
1734, 2 Series,2019,19850,Automatic,10649,Diesel,145,49.6,2.0,0.797788081479631
1735, 4 Series,2019,26820,Semi-Auto,8598,Diesel,145,60.1,2.0,1.1111151755012236
1736, 3 Series,2019,27770,Semi-Auto,4050,Diesel,145,60.1,2.0,-0.8360375607401593
1737, 3 Series,2013,8480,Manual,48681,Petrol,150,47.9,1.6,-1.3490418136648556
1738, X1,2016,17490,Manual,20516,Diesel,125,58.9,2.0,0.12036586403424965
1739, 1 Series,2017,17160,Automatic,26213,Petrol,145,47.9,2.0,0.2961600615292906
1740, 2 Series,2017,16491,Semi-Auto,22080,Petrol,145,48.7,2.0,0.4100627634981362
