revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
59.18,19.67,21.67,32,988,1,1,0,0,1,0,1
40.06,2.33,0,16,481,0,0,0,0,0,0,1
32.53,4.33,0,22,654,0,1,0,1,1,0,1
41.84,7,2.33,27,793,1,1,0,0,0,0,1
30.05,17.33,4.67,23,681,0,1,0,1,1,0,1
118.82,24.33,2,11,349,0,0,0,0,0,0,1
37.18,4.67,0.67,31,937,1,0,0,0,1,0,1
33.44,1,0,25,774,1,0,0,0,0,0,1
117.12,26.67,13.33,51,279,1,0,0,0,0,1,1
10.23,4,0.67,23,690,0,1,0,1,1,0,1
50.39,27.67,4,24,564,0,0,0,0,0,0,1
50,16,0.67,29,799,1,0,0,0,0,0,1
58.93,19.33,0,29,890,1,1,0,0,1,0,1
30,3.33,1.67,23,671,0,1,0,1,1,0,1
51.24,30.33,2,31,925,1,0,0,0,1,0,1
23.72,15,17.33,25,746,0,1,0,1,1,0,1
120.4,23.67,1,17,508,0,1,0,1,1,0,1
33.25,0,0,21,641,0,0,0,0,1,0,1
120.47,6.33,1,26,794,1,0,0,0,1,0,1
84.17,43.67,2.67,27,32,1,0,0,0,0,1,1
163.23,0,0,20,579,1,0,0,0,0,0,1
119.18,22,0.33,16,496,0,0,0,0,1,0,1
38.55,7.33,0.33,16,481,0,0,0,0,0,0,1
98.24,3.33,0.33,27,826,1,1,0,1,1,0,1
28.31,5,0,22,656,0,1,0,1,1,0,1
97.11,7.33,1.67,27,831,1,1,0,1,1,0,1
34.99,0,0,31,935,1,1,0,0,1,0,1
70.49,16.33,7,26,763,1,0,0,0,0,0,1
17.39,0,0,23,678,0,1,0,1,1,0,1
17.03,0,0,22,668,0,1,0,0,1,0,1
53.7,2.33,0.33,30,712,0,1,0,1,1,0,1
52.49,2.33,4.33,31,929,1,0,0,1,1,0,1
45.98,45.67,2.33,16,478,0,0,0,0,0,0,1
29.99,0.33,0,32,950,1,0,0,0,1,0,1
58.35,20.33,4.33,21,625,0,0,0,0,1,0,1
103.31,16.67,0,23,674,1,1,0,0,0,0,1
253.27,74,27.67,24,708,1,0,0,0,1,0,1
50.24,10,0,30,907,1,1,1,1,1,0,1
53.19,2.33,0,30,801,1,0,0,0,0,0,1
88.75,6,5,19,573,0,1,0,1,1,0,1
50.44,7.33,0.67,29,705,0,0,0,0,1,0,1
119.79,37.33,7.67,40,958,1,1,0,1,1,0,1
32.49,0.67,0,30,926,1,1,0,1,1,0,1
51,16.33,1,23,643,0,1,0,1,1,0,1
11.85,5,4,33,991,1,1,0,0,1,0,1
62.83,40,13.33,17,502,0,1,0,0,0,0,1
82.68,35.67,0,29,860,1,1,0,1,1,0,1
209.74,231.33,92.67,9,82,1,1,0,0,1,1,1
34.72,10,3,21,645,0,0,1,0,1,0,1
56.36,35.33,13.67,22,143,1,1,1,1,1,1,1
53.5,7,5,28,793,1,0,0,0,0,0,1
32.38,1,0.67,26,782,1,0,0,0,0,0,1
49.99,0,0,30,905,1,1,0,0,1,0,1
34.46,3.33,0,31,932,1,1,0,0,1,0,1
32.71,0,0,21,637,0,0,0,0,1,0,1
29.99,5.67,0.33,32,948,1,1,0,0,1,0,1
22.76,0,0,16,493,0,0,0,0,0,0,1
55.83,5,0,30,898,1,0,0,0,1,0,1
28.49,0.33,0,31,938,1,1,0,0,1,0,1
171.31,10,1.67,14,418,0,0,0,0,1,0,1
58.16,0.67,0,41,816,0,1,0,1,1,0,1
57.45,16.67,9,26,779,1,0,0,1,0,0,1
30.26,1.67,0,21,639,0,0,0,0,1,0,1
29.99,15,1.33,32,950,1,0,0,0,1,0,1
29.99,8.33,2.33,16,491,0,0,0,0,0,0,1
30.99,5.33,0.67,27,792,1,0,0,0,0,0,1
71.47,4,0,23,704,1,0,0,0,0,0,1
29.23,1.67,0,32,946,1,1,1,0,1,0,1
40.27,37.33,1.33,26,773,1,0,0,0,0,0,1
32.5,11.67,0,21,635,0,1,0,0,1,0,1
50.2,1.33,1.33,26,762,1,0,0,0,0,0,1
30.52,5.67,0,21,637,0,1,0,0,1,0,1
30.51,8.67,0,21,637,0,1,0,0,1,0,1
23.24,1,0,26,787,1,0,0,0,0,0,1
54.12,12.33,1,37,780,0,0,1,1,1,0,1
55.1,13,6,36,874,1,0,0,0,0,0,1
72.18,0,0,17,447,0,0,0,0,0,0,1
37.46,16,0,21,629,0,0,0,0,1,0,1
5.05,0,0,17,520,0,0,0,0,0,0,1
34.99,11.67,0,22,642,0,0,0,1,1,0,1
29.17,1.33,1,21,641,0,1,0,1,1,0,1
69.15,62,7,30,902,1,1,0,0,1,0,1
33.42,1.67,0,29,716,0,1,0,0,1,0,1
47.23,1.67,0,15,35,1,0,0,0,1,1,1
31.72,0.33,0,26,777,1,0,0,0,0,0,1
54.53,17.33,8,17,490,0,0,0,0,0,0,1
16.99,0,0,32,958,1,0,0,0,1,0,1
19.99,0,0.33,23,669,0,1,0,1,1,0,1
71.24,14.67,1.33,24,717,1,1,0,0,0,0,1
106.1,15.67,9.33,23,693,1,0,0,0,0,0,1
30,0,0,21,636,0,1,0,0,1,0,1
64.12,3.33,1,19,60,1,0,0,0,1,1,1
30.34,4,0.33,37,802,0,0,0,0,1,0,1
50.21,22,7.67,32,944,1,1,0,1,1,0,1
296.95,16,1.33,12,346,1,0,0,0,0,0,1
99.54,22,2.33,22,667,1,1,0,0,0,0,1
96.79,52.33,38.33,29,138,1,0,0,0,0,1,1
83.71,0,0.33,18,546,0,1,0,1,1,0,1
38.97,1,3,26,776,1,0,0,0,0,0,1
30,6.67,0.33,21,635,0,1,0,1,1,0,1
24.24,1.67,0,31,937,1,0,0,0,1,0,1
35.75,3,0,20,617,0,1,0,0,1,0,1
64.85,24,9.33,26,766,1,0,0,0,0,0,1
67.22,9.33,3.67,29,880,1,1,0,0,1,0,1
30,2,1.67,42,1049,1,1,0,1,1,0,1
30,0.67,0,21,633,0,0,0,0,1,0,1
30.34,22,4,32,952,1,0,0,1,1,0,1
20.79,0,0,21,643,0,1,0,0,1,0,1
67.15,36,8.33,24,739,1,0,0,0,0,0,1
24.17,4.67,0,24,670,0,1,0,1,1,0,1
33.03,12.67,1.67,31,931,1,0,0,0,1,0,1
50.15,10.67,2,30,903,1,1,0,1,1,0,1
46.56,15,7.67,16,65,1,0,0,0,1,1,1
53.27,72.33,48.67,27,817,0,0,0,0,1,0,1
58.16,21,0.33,24,724,1,0,0,0,0,0,1
40.24,3.67,1,21,624,0,1,0,0,1,0,1
29.99,8.33,3.33,31,939,1,1,0,0,1,0,1
55.36,12.33,2,20,600,0,0,0,0,1,0,1
14.16,0,0,32,956,1,0,0,0,1,0,1
17.22,0,0,27,798,1,0,0,0,0,0,1
31.03,0.67,0,31,927,1,1,0,1,1,0,1
33.85,8,2.33,31,931,1,1,0,1,1,0,1
49.99,2.33,0,33,927,1,0,0,0,1,0,1
40.93,4.67,1,31,919,1,0,0,0,1,0,1
30.52,14,4.67,22,655,0,0,0,0,1,0,1
52.73,57.33,4.33,25,751,1,0,0,0,0,0,1
51.62,0,0,37,966,1,0,1,0,1,0,1
16.99,0,0,22,655,0,1,0,0,1,0,1
104.93,13,6,29,650,0,1,0,0,1,0,1
30.25,22.33,3.67,21,641,0,1,0,0,1,0,1
38.69,8,0,31,917,1,1,0,0,1,0,1
49.32,1.33,0,25,740,1,0,0,0,0,0,1
54.75,35.67,34.33,25,748,0,0,0,0,1,0,1
36.41,15.33,3.33,31,929,1,1,0,0,1,0,1
83.03,16.33,2,17,433,0,0,0,0,0,0,1
31.68,3.67,1,21,630,0,0,0,0,1,0,1
40.31,1.33,1.33,30,908,1,0,0,0,1,0,1
30.5,1.33,0,21,628,0,0,0,0,1,0,1
89.53,6,0,38,219,1,1,0,0,1,1,1
30.17,3,1.67,26,685,0,1,0,0,1,0,1
61.03,18,0,24,716,1,0,0,0,0,0,1
51.88,10.33,0,20,594,0,0,0,0,1,0,1
20.24,0,0,26,781,1,0,0,0,0,0,1
30.12,3.67,0,21,628,0,1,0,0,1,0,1
26.64,4.33,0,30,918,1,1,0,1,1,0,1
16.99,0,0,21,642,0,0,0,0,1,0,1
57.92,18,2,30,890,1,0,0,1,1,0,1
24.42,15.67,7.67,31,954,1,0,0,0,1,0,1
30.5,0,0,21,627,0,1,0,1,1,0,1
149.46,37.33,3.33,33,632,0,1,0,0,1,0,1
60.53,38,0.67,28,862,1,1,0,1,1,0,1
33.68,4,0,20,613,0,1,0,1,1,0,1
31.25,11.67,0,21,626,0,1,0,0,1,0,1
37.97,4,0,20,608,0,1,0,0,1,0,1
43.98,25,1,32,922,1,0,0,0,1,0,1
69.52,14,4.67,29,874,1,0,0,0,1,0,1
50.44,11.33,2.33,30,898,1,1,0,1,1,0,1
34.99,1,0,31,918,1,0,0,0,1,0,1
35.92,2.67,0.33,31,918,1,1,0,0,1,0,1
51.67,25,6.67,21,623,0,1,0,1,1,0,1
10,0,0,22,658,0,0,0,0,1,0,1
50.1,5.67,4.33,25,749,1,0,0,0,0,0,1
39.41,1.33,0,30,902,1,1,0,0,1,0,1
62.75,5.33,0.33,29,867,1,1,1,1,1,0,1
32.15,0,0,40,820,0,0,0,0,1,0,1
31.24,0.33,0,21,624,0,1,0,1,1,0,1
30.26,8.33,0.33,21,626,0,1,0,1,1,0,1
5,0,0,27,805,1,0,0,0,0,0,1
93.27,21,2.33,22,664,1,0,0,0,0,0,1
40,24,24.33,18,554,0,0,0,0,0,0,1
42.49,0.67,1.67,31,913,1,1,0,0,1,0,1
69.55,17,6.33,23,712,1,0,0,0,0,0,1
90.68,18,13.67,25,732,1,0,0,0,0,0,1
53.24,84,1.33,25,735,1,0,0,0,0,0,1
113.9,64.33,17.67,13,401,0,0,0,0,0,0,1
31,1.33,0,21,623,0,0,0,0,1,0,1
123.87,53,2.67,26,775,1,1,0,1,1,0,1
11.98,11.33,2,22,660,0,1,0,0,1,0,1
56.11,1.33,0,24,717,1,0,0,0,0,0,1
74.26,24,0.33,21,56,1,1,0,0,1,1,1
40.01,0.67,0,21,92,1,0,0,0,1,1,1
29.55,0.33,0,21,624,0,1,0,0,1,0,1
30.26,0.67,0.67,25,757,1,0,0,0,0,0,1
10.5,5.67,0.67,16,492,0,0,0,0,0,0,1
32.49,10,0.67,22,633,0,1,0,0,1,0,1
108.21,41.67,22.33,29,882,1,0,0,0,1,0,1
29.99,6.33,0,21,623,0,0,0,0,1,0,1
17.93,0.33,0.67,31,935,1,0,0,0,1,0,1
57.49,0.33,0,32,900,1,1,0,0,1,0,1
151.75,44.67,2.67,23,712,1,1,0,0,1,0,1
82.33,13.33,1.67,17,529,0,1,0,0,1,0,1
37.53,5.33,2.33,25,753,1,0,0,0,0,0,1
45.49,1.33,0,20,595,0,1,0,0,1,0,1
72.76,18.33,25.67,22,664,0,0,0,0,1,0,1
32.98,1.33,0.67,26,763,1,0,0,0,0,0,1
60.39,32,6,25,739,1,0,0,0,0,0,1
69.48,3,1,23,693,1,0,0,0,0,0,1
85.2,24.67,0,27,817,1,0,0,1,1,0,1
52.43,80,9.67,13,23,1,1,0,0,1,1,1
53.75,13,2,29,878,1,1,0,0,1,0,1
36.6,6.67,10.33,41,853,0,0,1,0,1,0,1
31.52,0,0,30,906,1,0,0,0,1,0,1
34.99,7,1.33,26,762,1,0,0,0,0,0,1
141.21,37.67,7.33,25,757,1,1,0,0,1,0,1
82.57,10.33,0,23,675,1,0,0,0,0,0,1
65.09,15.67,0.33,23,695,1,0,0,0,0,0,1
29.99,1.33,0.67,26,765,1,0,0,0,0,0,1
30.25,24,5.67,22,648,0,1,0,1,1,0,1
101.98,15.67,0,22,643,1,0,0,0,0,0,1
46.4,7.33,0.33,19,583,0,1,0,0,1,0,1
43.54,22,7,21,627,0,0,0,0,1,0,1
33.58,14.33,19,23,695,0,0,0,0,1,0,1
91.74,40.67,2.33,26,805,1,0,0,0,1,0,1
11.37,11.67,2.67,23,669,0,1,0,1,1,0,1
5,0,0,26,789,1,0,0,0,0,0,1
22.98,0,0,25,759,1,0,0,0,0,0,1
30.28,14.67,6.33,22,128,1,0,0,0,1,1,1
34.18,8.67,0.33,30,902,1,1,0,1,1,0,1
29.99,2.67,0.33,21,620,0,0,0,0,1,0,1
35.18,0,0,36,962,1,1,1,0,1,0,1
35.83,8,2,24,740,1,0,0,0,0,0,1
30.91,19,2,30,910,1,0,0,0,1,0,1
52.15,12,0,29,870,1,0,0,0,1,0,1
15.62,3.67,1.67,22,649,0,1,0,1,1,0,1
54.79,21.67,2,29,873,1,1,0,0,1,0,1
32.25,0.67,0.67,25,749,1,0,0,1,0,0,1
10,14,5.67,17,512,0,0,0,0,0,0,1
52.98,8.33,0,18,561,0,0,0,0,1,0,1
52.02,5,3,17,458,0,0,0,0,0,0,1
56.48,0,0,28,854,1,1,0,0,1,0,1
33.26,0,0,20,603,0,0,0,0,1,0,1
50.56,3,0,24,716,1,0,0,0,0,0,1
60.95,17.33,1,25,718,1,0,0,0,0,0,1
53.7,2,0,23,702,1,0,0,0,0,0,1
33.35,3,0,15,448,0,0,0,0,0,0,1
57.87,19.33,7,24,729,1,0,0,0,0,0,1
38.98,14.67,5,37,267,1,1,1,1,1,1,1
29.99,3.33,0,20,606,0,1,0,0,1,0,1
5.25,0,0,31,940,1,1,0,1,1,0,1
67.24,33.67,14.33,25,751,1,0,0,0,0,0,1
53.2,1.33,0,19,570,0,0,0,0,1,0,1
30.58,1.33,0,14,440,0,0,0,0,0,0,1
55.73,3.67,0,23,699,1,0,0,0,0,0,1
230.46,54.33,16.33,17,496,1,0,0,0,0,0,1
12.99,0,0,31,931,1,0,0,1,1,0,1
29.99,0,0,30,902,1,1,0,0,1,0,1
31.85,6.33,1,25,748,1,0,0,0,0,0,1
117.38,37,0.67,26,767,1,0,0,0,1,0,1
29.99,0,2.33,21,622,0,1,0,1,1,0,1
33.93,5.33,0,30,897,1,0,0,0,1,0,1
43.78,3,0.33,30,887,1,1,0,0,1,0,1
89.81,57.67,8.33,24,696,1,0,0,0,0,0,1
44.13,13.67,0.33,19,579,0,1,0,1,1,0,1
49.99,0,0,29,868,1,1,0,1,1,0,1
38.65,3.67,4,20,606,0,1,0,0,1,0,1
33.13,18,2,18,64,1,1,0,1,1,1,1
387.3,32.33,1.67,14,247,1,0,0,0,0,0,1
31.34,0,0,16,457,0,0,0,0,0,0,1
56.93,5.67,1,19,566,0,0,1,1,1,0,1
41.03,29.33,9.33,20,619,0,0,0,0,1,0,1
31.48,17.33,0.67,33,931,1,1,0,0,1,0,1
112.53,81.67,4.33,16,484,0,1,0,0,1,0,1
39.99,0.67,0,24,723,1,0,0,0,0,0,1
60.98,6,4.67,13,407,0,0,0,0,0,0,1
44.35,42,10,21,627,0,0,0,0,1,0,1
33.05,2.33,1.33,20,602,0,1,0,0,1,0,1
42.28,42.33,5,20,603,0,0,0,0,1,0,1
71.68,0,0,42,263,1,0,0,0,1,1,1
144.43,53.67,6.33,31,89,1,0,0,0,1,1,1
41.81,8.67,0,31,895,1,1,0,0,1,0,1
77.55,30,0,22,660,1,0,0,0,0,0,1
44.92,28.33,6.67,21,615,0,0,0,0,1,0,1
70.5,6,1.33,23,682,1,0,0,0,0,0,1
35.8,8.67,0,16,32,1,0,0,0,1,1,1
43.64,1,0,29,872,1,0,0,0,1,0,1
44.02,9,2.67,20,593,0,1,0,1,1,0,1
43.9,25.67,8.33,30,714,0,0,0,0,1,0,1
35.98,0,0,29,880,1,0,0,0,1,0,1
22.6,41.67,14,27,813,1,0,0,0,0,0,1
80.82,17.67,3.33,17,523,0,1,0,0,1,0,1
50,14.33,0,23,699,1,0,0,1,0,0,1
56.54,67,2.67,19,568,0,0,1,1,1,0,1
12.35,10.33,2.67,32,944,1,1,0,1,1,0,1
119.5,23.33,12.67,19,9,1,0,0,0,1,1,1
34.99,0,0,29,880,1,1,1,1,1,0,1
45.96,18,0.67,29,870,1,0,1,1,1,0,1
88.24,0,0,21,636,1,0,0,0,0,0,1
67.85,95.67,16.33,20,607,0,0,0,0,1,0,1
51.96,14,0,23,696,1,0,0,0,0,0,1
39.56,3.33,6,24,738,1,1,0,0,0,0,1
42.96,42,40.67,21,615,0,0,0,0,0,0,1
94.69,21,6,23,474,0,0,0,0,0,0,1
30.26,7.33,1.67,19,592,0,1,0,0,1,0,1
185.04,47,15,24,709,1,1,0,1,1,0,1
33.74,14,0,19,583,0,1,0,0,1,0,1
10,0,0,30,916,1,1,0,0,1,0,1
93.41,15.33,0,21,629,1,0,0,0,0,0,1
50.69,22.67,1,29,864,1,1,0,0,1,0,1
309.21,217,124.33,14,88,1,1,0,0,1,1,1
54.17,1.67,0,29,857,1,1,0,0,1,0,1
49.24,24,1.33,18,559,0,0,0,1,1,0,1
30.26,1.33,0.67,24,730,1,0,0,0,0,0,1
20.18,0,0,20,607,0,1,1,1,1,0,1
38.48,9.33,2.33,24,726,1,0,0,0,0,0,1
55.1,76,28,27,817,1,0,0,0,0,0,1
33.32,40.33,6.67,25,755,1,0,0,0,0,0,1
49.46,1.67,0,28,851,1,1,0,1,1,0,1
36.05,9.33,0,24,721,1,0,0,0,0,0,1
31.24,0,0,19,584,0,0,0,0,1,0,1
14.87,0,0,20,612,0,1,0,0,1,0,1
36.37,2.33,0.67,29,877,1,1,0,0,1,0,1
24.99,0.33,0,34,939,1,1,0,0,1,0,1
60.46,9,0.33,22,674,1,0,0,0,0,0,1
36.1,0.33,0.33,33,724,0,0,0,0,1,0,1
118.54,27.33,4.67,26,768,1,1,0,0,1,0,1
83.43,6.33,5.33,22,664,1,1,0,0,0,0,1
32.32,4,1,30,892,1,1,0,0,1,0,1
69.78,16,0.67,17,522,0,1,0,0,1,0,1
20.98,0,0,30,901,1,1,0,1,1,0,1
50.79,17.67,1,18,554,0,1,0,1,1,0,1
20.17,0.33,0.67,20,607,0,1,0,0,1,0,1
77.7,12.33,9.33,23,692,1,0,0,1,0,0,1
88.16,24.67,11.33,19,34,1,1,0,1,1,1,1
84.77,0.33,0,21,635,1,0,0,0,0,0,1
32.78,4.33,1.67,29,882,1,0,0,0,1,0,1
50.19,16,0.67,23,695,1,0,0,0,0,0,1
38.15,0.67,0,29,871,1,0,0,0,1,0,1
55.18,30,9,20,593,0,1,0,0,1,0,1
53.13,2,1,22,682,1,0,0,0,0,0,1
17.15,0,0,20,607,0,1,1,1,1,0,1
42.48,18.67,3.67,19,580,0,1,0,0,1,0,1
46.55,2.33,0,18,554,0,1,0,1,1,0,1
31.47,0,0,30,888,1,0,0,0,1,0,1
58.1,5.67,0,17,531,0,0,0,0,1,0,1
33.89,38.33,29,24,718,0,1,0,1,1,0,1
43.99,3.33,0,30,874,1,1,0,1,1,0,1
13.75,0,0.67,20,612,0,0,0,1,1,0,1
86.29,39,15.33,29,864,1,0,0,0,1,0,1
32.78,8,0.33,24,722,1,0,0,0,0,0,1
30.74,5,0.67,19,583,0,0,1,0,1,0,1
17.15,0,0,24,738,1,1,0,0,0,0,1
23.7,1.67,0,14,434,0,0,0,0,0,0,1
95.6,18.33,3.67,20,622,1,0,0,0,0,0,1
47.5,4.67,0.33,18,553,0,1,0,1,1,0,1
120.05,31.67,3.67,21,515,0,1,0,1,1,0,1
28.49,0.33,0,24,725,1,0,0,0,0,0,1
40.5,0,0,28,856,1,1,1,1,1,0,1
41.48,1,1.67,28,860,1,1,0,0,1,0,1
28.79,0,0,24,724,1,0,0,0,0,0,1
30,3.67,0,25,733,1,0,0,0,0,0,1
40.07,11.33,3,28,865,1,1,0,0,1,0,1
57.94,34,4.33,13,398,0,0,0,0,0,0,1
50.45,35.33,6.33,29,874,1,1,0,1,1,0,1
55.64,20,0.67,19,554,0,0,0,1,1,0,1
40.57,3.33,0,18,558,0,1,0,0,1,0,1
52.24,21,0,28,842,1,0,0,0,1,0,1
23.1,0,0,29,884,1,1,0,0,1,0,1
34.98,3.67,0.33,29,872,1,1,0,0,1,0,1
32.15,0,0,29,874,1,0,0,0,1,0,1
52.08,7.67,8.33,22,509,0,0,0,0,0,0,1
136.75,13,10.67,15,454,0,1,0,0,1,0,1
50.95,9.67,0.33,18,547,0,1,0,0,1,0,1
86.23,19,0,21,629,1,0,0,0,0,0,1
83.25,10,0.67,16,492,0,1,0,0,1,0,1
30.17,0.33,0,30,886,1,1,0,1,1,0,1
162.77,21.67,0,23,669,1,0,0,0,1,0,1
479.01,85.67,14.33,6,192,1,0,0,0,1,0,1
35.23,2.33,0,19,573,0,0,0,0,1,0,1
127.47,26.33,1,19,566,1,0,0,0,0,0,1
51.57,17.67,4.33,23,700,1,0,0,0,0,0,1
30.27,0,0,19,578,0,1,0,0,1,0,1
17.39,0,0,19,592,0,0,0,0,1,0,1
57.15,21.33,0.67,17,530,0,1,0,0,1,0,1
60.08,9.33,2.67,28,840,1,0,0,0,1,0,1
32.3,4,0,28,862,1,1,0,0,1,0,1
29.99,3.67,8.67,21,625,0,0,0,0,1,0,1
36.36,26.67,1,19,574,0,0,0,0,1,0,1
216.78,39.33,16.33,7,197,0,0,0,0,0,0,1
19.4,0,0,25,742,1,0,0,0,0,0,1
34.64,7.67,0.33,24,716,1,0,0,0,0,0,1
30.23,0.67,0,28,864,1,1,0,1,1,0,1
168.29,47,1.67,21,646,1,1,0,1,1,0,1
19.99,0,0,31,610,0,0,0,0,0,0,1
81.14,16.33,0.33,26,788,1,1,1,1,1,0,1
17.15,0,0,30,898,1,1,0,1,1,0,1
33.03,6,1,28,863,1,1,1,0,1,0,1
93.04,16,0.33,10,313,0,0,0,0,0,0,1
41.32,35.67,5,23,711,1,0,0,0,0,0,1
109.91,8.33,1,20,593,1,1,0,1,0,0,1
42.82,31.67,1,15,3,1,0,0,0,1,1,1
32.65,16.33,0.67,29,872,1,1,0,1,1,0,1
41.03,2.33,0,19,564,0,1,0,1,1,0,1
42.29,32.33,13,34,848,1,0,0,0,0,0,1
53.82,14,0,19,550,0,1,0,1,1,0,1
82.04,47.67,6,22,659,1,0,0,0,0,0,1
110.11,27.67,21.67,28,841,1,0,0,0,1,0,1
29.99,0,0,30,883,1,1,0,0,1,0,1
88.29,27.33,9.33,28,827,1,1,0,0,1,0,1
79.71,52.67,15,19,567,0,1,0,0,1,0,1
33.6,5.33,31,19,563,0,0,0,0,0,0,1
15.13,0,0,25,744,1,0,0,0,0,0,1
30.24,0,0,30,882,1,1,0,0,1,0,1
67.01,0,0,11,349,0,0,0,0,0,0,1
52.05,49.33,5,29,863,1,1,1,0,1,0,1
17.33,0,0,31,713,0,1,0,0,1,0,1
26.18,22,8,21,624,0,0,0,1,1,0,1
30.88,2.33,0.67,30,883,1,0,0,0,1,0,1
365.24,131.33,25,36,552,1,0,0,0,0,0,1
58.48,9.67,5.67,28,847,1,0,0,0,1,0,1
45.83,9.67,4.67,29,868,1,1,0,0,1,0,1
17.14,1.33,0,29,885,1,1,0,0,1,0,1
31.64,1.67,0,18,562,0,0,0,0,1,0,1
27.91,11.67,1.67,19,581,0,1,0,0,1,0,1
37.09,6.67,0.33,24,709,1,0,0,0,0,0,1
34.14,18.67,3,19,578,0,0,0,0,1,0,1
43.43,1,0.67,24,703,1,0,0,0,0,0,1
26.49,1,0,29,874,1,0,0,0,1,0,1
29.99,0.67,0,29,870,1,1,0,1,1,0,1
30,15,6,29,888,1,0,0,1,1,0,1
32.34,0,0,29,867,1,1,0,0,1,0,1
19.85,4.33,2.67,30,899,1,1,0,0,1,0,1
78.81,20.67,32.67,30,926,1,1,0,1,1,0,1
55.46,58.33,32.67,28,114,1,0,0,0,0,1,1
49.14,2.67,0,28,838,1,1,1,0,1,0,1
54.3,11,1.67,27,827,1,0,0,0,1,0,1
47.21,7.33,0,28,840,1,0,0,1,1,0,1
50.49,24,6.67,23,702,1,0,0,0,0,0,1
29.99,0,0,29,869,1,0,0,0,1,0,1
85.51,31.33,11.33,29,843,1,0,0,0,1,0,1
609.43,32,1.67,15,98,1,0,0,0,1,0,1
34.99,15,5,30,889,1,1,0,0,1,0,1
17.85,0,0,29,882,1,1,0,0,1,0,1
80.74,10,1.33,17,500,0,0,0,0,1,0,1
29.99,0,0,24,714,1,0,0,0,0,0,1
42.05,16.33,3.67,20,580,0,1,0,0,1,0,1
32.98,3,0.33,18,559,0,0,0,1,1,0,1
70.48,34.33,13.67,19,569,0,1,0,0,1,0,1
30.48,0,0,41,799,0,1,0,1,1,0,1
9,0,0,21,615,0,0,0,0,1,0,1
29.99,3,0,15,427,0,0,0,0,0,0,1
84.71,14.33,4.67,21,637,1,0,0,0,0,0,1
95.12,0.67,0,26,766,1,1,0,0,1,0,1
79.48,19.33,6.33,31,854,1,1,0,1,1,0,1
52.22,36,8.67,48,1067,1,1,0,0,1,0,1
50.69,14.33,4.33,22,683,1,0,0,0,0,0,1
30.1,6.33,2,20,587,0,1,0,0,1,0,1
30,2.67,0,20,581,0,1,0,0,1,0,1
29.99,15.33,7,16,458,0,1,0,0,0,0,1
69.69,21.33,6.33,22,668,1,0,0,0,0,0,1
29.99,0,0,42,1002,1,1,0,1,1,0,1
33.51,1,0,18,556,0,1,0,0,1,0,1
34.37,5,0,18,555,0,1,0,0,1,0,1
45.23,26,2.33,22,682,1,0,0,0,0,0,1
35.31,2.67,0,19,564,0,0,0,0,1,0,1
50.35,2.33,0,28,834,1,1,0,1,1,0,1
35.24,5.67,1,19,567,0,1,0,0,1,0,1
76.55,71.67,26.67,26,763,1,0,0,0,0,0,1
54.06,2.67,0,20,33,1,0,0,0,1,1,1
29.99,0,0,28,856,1,0,0,0,1,0,1
35.74,5.33,0.33,23,696,1,0,0,0,0,0,1
40.92,17.33,1,28,847,1,0,0,1,1,0,1
32.19,2,0.33,19,568,0,1,0,1,1,0,1
47.02,3,0,17,530,0,1,0,0,1,0,1
41.89,6.33,2.33,18,553,0,1,1,1,1,0,1
143.91,111.67,14.33,49,176,1,0,0,0,0,1,1
37.69,9,6.67,30,888,1,1,0,0,1,0,1
30.82,24.33,2.33,33,720,0,0,0,0,1,0,1
17.15,0,0,20,593,0,0,0,0,1,0,1
29.63,4,0.33,19,570,0,0,0,0,1,0,1
52.13,11.33,1.67,28,836,1,1,0,0,1,0,1
76.45,16,3,17,506,0,1,0,0,1,0,1
35.91,3.67,0.67,28,850,1,1,1,0,1,0,1
19.99,0,0,30,886,1,1,0,0,1,0,1
76.61,32,10,28,834,1,1,0,1,1,0,1
29.22,17.67,2,24,717,1,0,0,0,0,0,1
35.23,5.33,1.33,29,863,1,1,0,0,1,0,1
14.52,3.33,0,20,595,0,0,0,1,1,0,1
42.3,13.33,1.67,18,549,0,0,0,0,1,0,1
53.12,34.67,23.67,17,73,1,1,0,0,1,1,1
33.23,12.33,3.33,29,871,1,1,0,0,1,0,1
48.31,20,5.67,19,462,0,0,0,0,0,0,1
50.41,19.33,2.33,23,684,1,0,0,0,0,0,1
38.05,29.33,0.67,21,581,0,0,0,0,1,0,1
38.68,2.67,0,28,844,1,0,0,0,1,0,1
87.71,27,4.33,26,783,1,0,0,0,1,0,1
42.98,18.67,1,33,180,1,0,0,0,1,1,1
89.09,57.33,21,23,698,1,0,0,0,0,0,1
38.74,5.33,1.33,29,858,1,1,0,1,1,0,1
58.05,17,1,33,684,0,1,0,1,1,0,1
25.02,2,0,28,858,1,1,0,0,1,0,1
62.76,21.67,4.33,22,665,1,0,0,0,0,0,1
59.08,15,4.33,22,669,1,0,0,0,0,0,1
32.95,10.33,5.67,19,580,0,0,0,1,1,0,1
77.76,30.67,2.33,21,632,1,0,0,0,0,0,1
19.16,0,0,28,864,1,0,0,0,1,0,1
50.79,17.67,2,19,549,0,1,0,1,1,0,1
45.6,1.33,0,28,835,1,0,0,0,1,0,1
35.75,16,2,23,86,1,0,0,0,1,1,1
